time_iso8601,time_iso8601,DE-BB,DE-BE,DE-BW,DE-BY,DE-HB,DE-HE,DE-HH,DE-MV,DE-NI,DE-NW,DE-RP,DE-SH,DE-SL,DE-SN,DE-ST,DE-TH,sum_cases
2020-03-02T17:00:00+0000,2020-03-02T17:00:00+0000,2,0,30,34,2,9,2,0,4,116,2,4,3,1,0,0,209
2020-03-03T17:00:00+0000,2020-03-03T17:00:00+0000,2,6,54,40,4,13,5,2,10,145,3,5,3,1,0,1,294
2020-03-04T17:00:00+0000,2020-03-04T17:00:00+0000,2,9,92,50,4,15,6,4,14,235,7,5,3,1,0,1,448
2020-03-05T17:00:00+0000,2020-03-05T17:00:00+0000,4,19,128,69,4,21,11,5,20,332,8,6,3,1,0,1,632
2020-03-06T17:00:00+0000,2020-03-06T17:00:00+0000,4,24,179,120,4,22,14,5,27,394,10,8,3,3,0,1,818
2020-03-07T17:00:00+0000,2020-03-07T17:00:00+0000,4,25,211,140,4,26,18,5,35,461,12,8,3,5,0,2,959
2020-03-08T17:00:00+0000,2020-03-08T17:00:00+0000,8,37,230,160,4,26,23,7,39,487,15,9,4,10,0,2,1061
2020-03-09T17:00:00+0000,2020-03-09T17:00:00+0000,12,59,282,247,11,46,44,11,53,584,21,12,9,15,0,2,1408
2020-03-10T17:00:00+0000,2020-03-10T17:00:00+0000,21,93,400,358,22,62,73,12,88,759,38,19,11,37,6,11,2010
2020-03-11T17:00:00+0000,2020-03-11T17:00:00+0000,29,135,546,478,33,99,103,20,151,961,67,38,21,53,21,12,2767
2020-03-12T17:00:00+0000,2020-03-12T17:00:00+0000,54,182,734,615,40,136,144,29,219,1245,131,56,34,80,35,23,3757
2020-03-13T17:00:00+0000,2020-03-13T17:00:00+0000,75,241,1048,867,49,215,182,38,311,1665,189,83,51,116,46,33,5209
2020-03-14T17:00:00+0000,2020-03-14T17:00:00+0000,89,270,1374,1097,52,298,261,39,388,1988,240,107,63,151,48,51,6516
2020-03-15T17:00:00+0000,2020-03-15T17:00:00+0000,110,296,1557,1266,55,322,339,40,456,2229,335,128,80,181,48,52,7494
2020-03-16T17:00:00+0000,2020-03-16T17:00:00+0000,130,359,1990,1536,56,449,419,54,613,2840,460,157,104,223,83,70,9543
2020-03-17T17:00:00+0000,2020-03-17T17:00:00+0000,195,452,2592,2009,68,617,552,85,789,3748,628,203,127,310,112,101,12588
2020-03-18T17:00:00+0000,2020-03-18T17:00:00+0000,241,598,3396,2762,78,841,687,128,1060,4464,786,256,171,441,150,138,16197
2020-03-19T17:00:00+0000,2020-03-19T17:00:00+0000,297,778,4053,3582,118,1044,873,162,1309,5605,921,316,215,596,193,192,20254
2020-03-20T17:00:00+0000,2020-03-20T17:00:00+0000,361,948,4900,4446,142,1255,1019,178,1575,6480,1101,394,252,739,244,268,24302
2020-03-21T17:00:00+0000,2020-03-21T17:00:00+0000,385,1076,5466,5556,164,1390,1125,189,1754,7171,1216,439,290,868,262,306,27657
2020-03-22T17:00:00+0000,2020-03-22T17:00:00+0000,406,1144,6014,6115,168,1449,1274,190,1862,7606,1358,473,336,920,276,333,29924
2020-03-23T17:00:00+0000,2020-03-23T17:00:00+0000,457,1303,6664,6836,180,1725,1406,203,2105,8487,1554,567,395,1045,342,385,33654
2020-03-24T17:00:00+0000,2020-03-24T17:00:00+0000,513,1502,7851,8056,199,1960,1613,240,2399,9285,1759,667,428,1205,404,457,38538
2020-03-25T17:00:00+0000,2020-03-25T17:00:00+0000,610,1747,9038,9740,210,2207,1775,264,2776,10324,1929,753,477,1385,455,536,44226
2020-03-26T17:00:00+0000,2020-03-26T17:00:00+0000,683,2033,10259,11444,241,2509,1945,288,3149,11369,2144,849,547,1555,513,611,50139
2020-03-27T17:00:00+0000,2020-03-27T17:00:00+0000,762,2238,11510,13090,261,2817,2087,330,3560,12469,2414,966,610,1743,591,684,56132
2020-03-28T17:00:00+0000,2020-03-28T17:00:00+0000,806,2435,12520,14511,286,3002,2232,351,3907,13219,2579,1048,676,1906,633,752,60863
2020-03-29T17:00:00+0000,2020-03-29T17:00:00+0000,833,2522,13180,15375,287,3142,2347,362,4085,13850,2721,1091,753,1977,652,772,63949
2020-03-30T17:00:00+0000,2020-03-30T17:00:00+0000,928,2689,14113,16419,295,3325,2418,375,4396,14620,2864,1169,819,2115,724,807,68076
2020-03-31T17:00:00+0000,2020-03-31T17:00:00+0000,1057,2902,15338,18270,312,3579,2577,425,4755,15678,3065,1273,949,2294,780,886,74140
2020-04-01T17:00:00+0000,2020-04-01T17:00:00+0000,1126,3089,16583,20258,328,3908,2716,448,5124,16834,3317,1376,1058,2479,816,944,80404
2020-04-02T17:00:00+0000,2020-04-02T17:00:00+0000,1242,3327,18003,22199,339,4175,2881,477,5457,18041,3506,1488,1229,2702,862,1029,86957
2020-04-03T17:00:00+0000,2020-04-03T17:00:00+0000,1378,3566,19277,24066,372,4425,3039,508,5845,19095,3720,1600,1299,2954,906,1099,93149
2020-04-04T17:00:00+0000,2020-04-04T17:00:00+0000,1418,3674,20131,25560,387,4649,3147,523,6069,19780,3860,1669,1438,3094,940,1149,97488
2020-04-05T17:00:00+0000,2020-04-05T17:00:00+0000,1444,3752,20626,26284,390,4740,3255,525,6211,20288,3966,1705,1525,3162,979,1189,100041
2020-04-06T17:00:00+0000,2020-04-06T17:00:00+0000,1519,3896,21192,27414,395,4879,3348,530,6442,21164,4106,1766,1601,3244,1005,1215,103716
2020-04-07T17:00:00+0000,2020-04-07T17:00:00+0000,1625,4098,22096,28949,431,5134,3558,565,6814,22078,4286,1878,1676,3386,1050,1288,108912
2020-04-08T17:00:00+0000,2020-04-08T17:00:00+0000,1743,4276,23030,30497,437,5437,3675,573,7148,23124,4459,1968,1829,3546,1098,1352,114192
2020-04-09T17:00:00+0000,2020-04-09T17:00:00+0000,1858,4452,24032,31768,455,5729,3788,588,7462,24135,4615,2060,1962,3646,1137,1422,119109
2020-04-10T17:00:00+0000,2020-04-10T17:00:00+0000,1933,4534,24698,32714,464,5884,3885,599,7722,24750,4746,2094,2053,3776,1162,1449,122463
2020-04-11T17:00:00+0000,2020-04-11T17:00:00+0000,1982,4621,25450,33479,477,6035,3964,612,7850,25335,4823,2135,2073,3856,1191,1476,125359
2020-04-12T17:00:00+0000,2020-04-12T17:00:00+0000,2026,4675,25878,33898,481,6134,4010,615,8000,25718,4888,2151,2095,3944,1204,1508,127225
2020-04-13T17:00:00+0000,2020-04-13T17:00:00+0000,2038,4734,26169,34362,487,6211,4051,619,8080,26011,4961,2249,2122,3984,1215,1528,128821
2020-04-14T17:00:00+0000,2020-04-14T17:00:00+0000,2092,4808,26540,35115,494,6371,4128,622,8246,26530,5061,2266,2149,4056,1240,1572,131290
2020-04-15T17:00:00+0000,2020-04-15T17:00:00+0000,2158,4921,27162,36080,509,6598,4211,633,8473,27197,5180,2308,2199,4113,1261,1614,134617
2020-04-16T17:00:00+0000,2020-04-16T17:00:00+0000,2220,5015,27823,36946,554,6805,4284,642,8715,27936,5295,2359,2248,4215,1286,1695,138038
2020-04-17T17:00:00+0000,2020-04-17T17:00:00+0000,2330,5135,28378,37726,566,6995,4391,646,8912,28571,5424,2399,2279,4259,1347,1731,141089
