time_iso8601,DE-BB,DE-BE,DE-BW,DE-BY,DE-HB,DE-HE,DE-HH,DE-MV,DE-NI,DE-NW,DE-RP,DE-SH,DE-SL,DE-SN,DE-ST,DE-TH,sum_cases
2020-03-03T20:00:00+0000,1,9,65,70,3,12,5,4,9,179,6,5,1,1,0,1,371
2020-03-04T20:00:00+0000,1,9,65,70,3,12,5,4,9,179,6,5,1,1,0,1,371
2020-03-05T20:00:00+0000,1,15,91,91,3,12,6,5,18,304,9,7,1,1,0,1,565
2020-03-06T20:00:00+0000,2,19,116,119,4,14,11,5,19,358,10,8,2,2,0,1,690
2020-03-07T20:00:00+0000,2,28,182,149,4,14,13,6,23,461,13,9,4,4,0,2,914
2020-03-08T20:00:00+0000,2,40,199,203,4,14,17,8,28,478,18,10,4,10,0,2,1037
2020-03-09T20:00:00+0000,7,48,234,263,4,28,22,10,42,543,23,12,6,15,1,6,1264
2020-03-10T20:00:00+0000,16,58,279,330,22,38,35,14,63,662,28,15,7,23,8,8,1606
2020-03-11T20:00:00+0000,24,90,367,380,32,50,54,17,78,807,38,29,14,30,19,11,2040
2020-03-12T20:00:00+0000,29,137,560,518,42,105,88,23,143,1200,57,35,28,49,31,18,3063
2020-03-13T20:00:00+0000,45,174,816,676,48,166,123,33,236,1635,112,48,35,77,39,32,4295
2020-03-14T20:00:00+0000,63,263,1026,921,53,230,158,41,340,2033,173,74,39,102,49,43,5608
2020-03-15T20:00:00+0000,88,283,1416,1123,56,318,196,46,359,2574,215,111,74,142,59,55,7115
2020-03-16T20:00:00+0000,109,332,1751,1345,57,388,260,56,564,3083,393,137,99,163,85,73,8895
2020-03-17T20:00:00+0000,130,383,2437,1716,66,497,312,72,733,3944,564,151,108,250,112,87,11562
2020-03-18T20:00:00+0000,206,519,2926,2280,75,654,414,103,966,4809,702,235,172,318,151,115,14645
2020-03-19T20:00:00+0000,266,688,3546,2953,118,900,506,143,1238,5732,871,276,230,427,193,167,18254
2020-03-20T20:00:00+0000,322,868,4238,3796,126,1158,664,167,1512,6806,1037,359,268,598,242,232,22393
2020-03-21T20:00:00+0000,376,1025,4735,4518,167,1327,768,182,1681,7523,1195,405,301,731,274,256,25464
2020-03-22T20:00:00+0000,403,1071,5431,5457,172,1475,887,187,1835,8152,1315,454,327,839,302,314,28621
2020-03-23T20:00:00+0000,433,1219,6166,6284,175,1602,1043,202,2019,8785,1497,503,402,943,366,378,32017
2020-03-24T20:00:00+0000,482,1425,7122,7151,195,1805,1237,227,2266,9529,1733,593,437,1047,406,430,36085
2020-03-25T20:00:00+0000,547,1645,8345,8601,212,2032,1450,246,2652,10481,1904,655,466,1205,477,482,41400
2020-03-26T20:00:00+0000,635,1937,9648,10382,244,2332,1614,268,3045,11608,2105,754,540,1350,534,569,47565
2020-03-27T20:00:00+0000,746,2152,10890,11671,263,2587,1759,310,3422,12547,2330,864,610,1559,586,672,52968
2020-03-28T20:00:00+0000,803,2337,12026,13071,278,2917,1935,348,3737,13475,2522,953,669,1757,629,718,58175
2020-03-29T19:00:00+0000,852,2462,12833,14398,290,3112,2078,361,4010,14218,2694,1021,738,1884,682,760,62393
2020-03-30T19:00:00+0000,907,2581,13872,15540,297,3251,2214,370,4377,14997,2900,1090,803,2034,744,804,66781
2020-03-31T19:00:00+0000,994,2777,14961,16852,315,3461,2290,417,4708,15965,3051,1217,961,2147,779,854,71749
2020-04-01T19:00:00+0000,1101,2993,16248,18659,330,3769,2437,445,5032,17172,3271,1321,1073,2304,824,931,77910
2020-04-02T19:00:00+0000,1196,3223,17645,20722,341,4088,2557,468,5411,18451,3503,1415,1252,2564,860,1017,84713
2020-04-03T19:00:00+0000,1323,3486,18964,22714,354,4316,2739,501,5846,19469,3686,1540,1318,2721,921,1088,90986
2020-04-04T19:00:00+0000,1389,3626,20195,24224,388,4530,2882,523,6071,20290,3828,1607,1410,2954,952,1126,95995
2020-04-05T19:00:00+0000,1457,3687,20968,25546,393,4659,3019,528,6307,21092,3924,1678,1544,3079,977,1180,100038
