time_iso8601,DE-BB,DE-BE,DE-BW,DE-BY,DE-HB,DE-HE,DE-HH,DE-MV,DE-NI,DE-NW,DE-RP,DE-SH,DE-SL,DE-SN,DE-ST,DE-TH,sum_deaths
2020-03-26T20:00:00+0000,3,8,109,81,2,7,2,0,21,98,12,6,6,9,2,4,370
2020-03-27T20:00:00+0000,4,11,148,139,2,12,4,1,30,124,19,7,7,10,4,5,527
2020-03-29T19:00:00+0000,4,13,179,169,4,15,7,1,40,139,20,8,9,11,8,5,632
2020-03-30T19:00:00+0000,7,15,214,211,5,22,7,3,48,156,21,10,12,15,8,6,760
2020-03-31T19:00:00+0000,11,17,257,259,6,26,8,3,57,188,26,11,15,19,8,8,919
2020-04-01T19:00:00+0000,15,20,304,307,6,36,14,4,74,222,27,14,16,22,11,9,1101
2020-04-02T19:00:00+0000,17,22,344,366,6,46,16,5,84,242,31,16,16,30,11,11,1263
2020-04-03T19:00:00+0000,23,24,395,403,6,60,16,5,92,275,34,18,21,38,12,11,1433
2020-04-04T19:00:00+0000,26,26,420,441,8,64,19,7,103,313,38,19,24,40,12,11,1571
2020-04-05T19:00:00+0000,30,28,462,499,9,74,19,8,125,374,43,22,30,43,13,18,1797
2020-04-06T19:00:00+0000,37,32,503,546,10,96,25,11,142,405,50,26,32,51,16,20,2002
2020-04-07T19:00:00+0000,42,37,544,645,11,107,29,11,161,452,56,32,35,60,16,21,2259
2020-04-08T19:00:00+0000,50,42,608,719,13,118,33,11,178,505,60,37,38,66,17,24,2519
2020-04-09T19:00:00+0000,53,46,647,778,13,128,38,11,192,529,63,39,42,67,20,25,2691
2020-04-10T19:00:00+0000,55,50,680,803,15,138,42,11,212,559,69,40,42,69,22,25,2832
2020-04-11T19:00:00+0000,56,51,713,857,15,147,47,11,226,591,71,46,48,73,24,27,3003
2020-04-12T19:00:00+0000,60,56,743,903,20,162,52,11,243,633,76,47,50,74,25,29,3184
2020-04-13T19:00:00+0000,66,62,810,988,21,178,58,11,260,684,84,52,64,86,25,36,3485
2020-04-14T19:00:00+0000,71,74,870,1097,21,195,61,12,276,737,91,55,68,91,26,45,3790
2020-04-15T19:00:00+0000,74,84,925,1170,22,210,80,12,300,788,97,59,83,98,29,47,4078
2020-04-16T19:00:00+0000,79,91,981,1244,24,222,84,14,315,838,107,61,89,105,30,51,4335
2020-04-17T19:00:00+0000,86,92,1018,1308,25,231,90,14,320,871,110,62,94,108,31,52,4512
2020-04-18T19:00:00+0000,91,92,1033,1335,25,241,91,14,329,895,113,65,99,110,32,53,4618
2020-04-19T19:00:00+0000,93,97,1078,1408,25,255,91,15,340,932,119,74,101,118,34,60,4840
2020-04-20T19:00:00+0000,101,105,1124,1470,26,266,91,15,357,976,126,79,108,124,35,63,5066
2020-04-21T19:00:00+0000,109,105,1176,1538,27,287,95,15,366,1016,134,83,116,129,37,63,5296
2020-04-22T19:00:00+0000,116,112,1217,1627,27,299,113,16,379,1064,140,87,120,135,37,66,5555
2020-04-23T19:00:00+0000,122,113,1254,1670,27,309,122,16,399,1107,145,90,122,145,37,70,5748
2020-04-24T19:00:00+0000,127,123,1274,1693,27,310,139,16,405,1116,149,91,122,148,38,74,5852
2020-04-25T19:00:00+0000,127,125,1284,1725,27,326,140,16,414,1135,153,98,124,148,38,76,5956
2020-04-26T19:00:00+0000,132,127,1306,1769,27,334,142,16,422,1171,157,100,126,153,41,82,6105
2020-04-27T19:00:00+0000,134,137,1336,1834,29,344,147,16,436,1206,162,102,126,156,42,85,6292
2020-04-28T19:00:00+0000,139,147,1364,1877,29,355,153,16,445,1230,164,106,128,157,45,91,6446
2020-04-29T19:00:00+0000,145,149,1409,1908,30,361,155,16,457,1258,168,107,129,165,46,96,6599
2020-04-30T19:00:00+0000,147,152,1424,1963,30,368,163,16,466,1268,174,111,131,166,46,97,6722
2020-05-01T19:00:00+0000,149,154,1436,1986,30,372,163,16,472,1279,175,115,132,169,47,98,6793
2020-05-02T19:00:00+0000,149,154,1442,2007,31,376,165,16,476,1291,179,115,133,169,47,101,6851
2020-05-03T19:00:00+0000,149,154,1487,2028,32,386,167,16,482,1302,184,117,136,172,47,103,6962
2020-05-04T19:00:00+0000,149,159,1513,2063,32,393,172,18,487,1353,187,119,137,174,48,107,7111
2020-05-05T19:00:00+0000,151,162,1533,2117,32,400,190,18,494,1369,189,120,137,177,48,111,7248
2020-05-06T19:00:00+0000,154,163,1549,2168,32,406,194,18,502,1396,191,122,137,183,48,111,7374
2020-05-07T19:00:00+0000,155,164,1567,2201,32,415,201,18,506,1413,194,123,138,189,48,119,7483
2020-05-08T19:00:00+0000,157,165,1574,2211,32,419,204,18,509,1422,194,124,138,189,48,120,7524
2020-05-09T19:00:00+0000,157,165,1580,2217,33,420,204,18,511,1428,194,125,138,190,48,120,7548
2020-05-10T19:00:00+0000,157,165,1583,2222,33,420,204,18,518,1437,194,125,138,190,48,120,7572
2020-05-11T19:00:00+0000,159,170,1620,2247,35,425,216,19,528,1467,203,126,138,194,52,128,7727
2020-05-12T19:00:00+0000,160,170,1629,2251,35,425,223,19,534,1471,203,126,139,195,52,129,7761
2020-05-13T19:00:00+0000,160,177,1655,2293,36,437,228,19,542,1477,207,127,139,196,52,135,7880
2020-05-14T19:00:00+0000,162,181,1660,2299,36,439,228,19,549,1487,211,127,141,196,54,138,7927
2020-05-15T19:00:00+0000,163,181,1674,2318,36,444,231,19,550,1499,214,128,142,197,54,139,7989
2020-05-16T19:00:00+0000,163,181,1679,2323,37,450,232,19,551,1506,214,128,142,197,54,140,8016
2020-05-17T19:00:00+0000,164,182,1702,2335,37,456,234,19,558,1516,221,129,146,199,54,142,8094
2020-05-18T19:00:00+0000,164,186,1714,2348,37,459,234,19,565,1525,221,130,146,200,54,147,8149
2020-05-19T19:00:00+0000,164,186,1722,2365,37,463,236,19,573,1534,223,130,146,201,54,147,8200
2020-05-20T19:00:00+0000,164,190,1723,2393,38,463,236,20,575,1545,224,130,149,201,54,152,8257
2020-05-21T19:00:00+0000,164,190,1739,2405,40,469,240,20,577,1547,226,131,149,202,54,152,8305
2020-05-22T19:00:00+0000,164,191,1740,2410,40,473,240,20,577,1549,226,135,149,203,54,152,8323
2020-05-23T19:00:00+0000,164,191,1742,2418,40,474,240,20,577,1553,227,137,149,203,54,152,8341
2020-05-24T19:00:00+0000,164,191,1742,2418,40,474,240,20,577,1553,227,137,149,203,54,152,8341
2020-05-25T19:00:00+0000,165,193,1762,2456,40,478,241,20,593,1569,229,140,149,208,55,156,8454
2020-05-26T19:00:00+0000,165,195,1771,2467,40,481,242,20,597,1575,229,143,151,210,56,157,8499
2020-05-27T19:00:00+0000,165,196,1783,2472,40,484,245,20,600,1587,229,144,151,211,56,160,8543
2020-05-28T19:00:00+0000,165,197,1781,2476,41,489,245,20,602,1593,230,144,151,213,56,161,8564
2020-05-29T19:00:00+0000,165,198,1782,2479,41,489,245,20,603,1593,230,144,151,213,56,162,8571
2020-05-30T19:00:00+0000,165,198,1784,2480,41,490,245,20,604,1594,230,144,151,213,56,162,8577
2020-05-31T19:00:00+0000,165,198,1786,2486,41,491,245,20,605,1595,230,144,151,213,56,165,8591
2020-06-01T19:00:00+0000,165,198,1795,2496,42,492,245,20,607,1604,230,145,167,214,56,167,8643
