# {"time_iso8601_last_update_rki": "2021-08-16T17:00:00+0000", "time_iso8601_last_update_rl": "2021-08-17T08:00:00+0000"}
ags,county_name,state,population,rl_cases_total,rl_cases_7di,rl_deaths_total,rki_cases_total,rki_cases_7di,rki_deaths_total
1001,SK Flensburg,Schleswig-Holstein,90164,2510,109.80,39,2510,109.80,39
1002,SK Kiel,Schleswig-Holstein,246794,6073,93.20,105,6073,92.38,105
1003,SK Lübeck,Schleswig-Holstein,216530,6182,59.58,100,6181,59.58,100
1004,SK Neumünster,Schleswig-Holstein,80196,2015,68.58,25,2049,71.08,23
1051,LK Dithmarschen,Schleswig-Holstein,133193,2123,43.55,53,2121,43.55,53
1053,LK Herzogtum Lauenburg,Schleswig-Holstein,198019,5490,52.52,115,5491,52.52,115
1054,LK Nordfriesland,Schleswig-Holstein,165951,2987,36.76,82,2986,36.16,82
1055,LK Ostholstein,Schleswig-Holstein,200539,3519,14.46,86,3519,14.46,86
1056,LK Pinneberg,Schleswig-Holstein,316103,11259,57.89,378,11259,55.99,378
1057,LK Plön,Schleswig-Holstein,128686,1518,40.41,32,1518,40.41,32
1058,LK Rendsburg-Eckernförde,Schleswig-Holstein,274098,4341,31.38,58,4341,31.38,58
1059,LK Schleswig-Flensburg,Schleswig-Holstein,201156,3071,38.78,60,3064,39.77,60
1060,LK Segeberg,Schleswig-Holstein,277175,7282,47.98,161,7289,43.29,161
1061,LK Steinburg,Schleswig-Holstein,131013,2516,40.45,41,2510,41.22,41
1062,LK Stormarn,Schleswig-Holstein,244156,7434,46.28,308,7434,47.10,308
2000,SK Hamburg,Hamburg,1847253,82076,90.13,1634,82073,78.33,1635
3101,SK Braunschweig,Niedersachsen,249406,6786,32.88,189,6787,31.27,189
3102,SK Salzgitter,Niedersachsen,104291,5571,29.72,79,5571,23.97,79
3103,SK Wolfsburg,Niedersachsen,124371,4329,70.76,87,4334,69.15,87
3151,LK Gifhorn,Niedersachsen,176523,6286,27.19,191,6290,27.76,191
